YEAR,DISTRICT_ID,LOCALE,DRP912,STATE,REGION
1997,100005,3-Town,3.90,AL,Southeast
1997,100006,3-Town,11.10,AL,Southeast
1997,100007,1-City,1.80,AL,Southeast
1997,100030,3-Town,4.90,AL,Southeast
1997,100060,3-Town,6.50,AL,Southeast
1997,100090,1-City,6.30,AL,Southeast
1997,100100,3-Town,3.70,AL,Southeast
1997,100120,2-Suburb,6.50,AL,Southeast
1997,100180,2-Suburb,2.30,AL,Southeast
1997,100210,3-Town,2.40,AL,Southeast
1997,100240,2-Suburb,6.50,AL,Southeast
1997,100270,2-Suburb,4.20,AL,Southeast
1997,100300,4-Rural,5.50,AL,Southeast
1997,100360,4-Rural,6.10,AL,Southeast
1997,100390,1-City,5.60,AL,Southeast
1997,100420,4-Rural,6.10,AL,Southeast
1997,100450,3-Town,7.50,AL,Southeast
1997,100510,3-Town,4.90,AL,Southeast
1997,100540,1-City,4.20,AL,Southeast
1997,100600,3-Town,4.10,AL,Southeast
1997,100630,4-Rural,7.40,AL,Southeast
1997,100660,4-Rural,5.70,AL,Southeast
1997,100690,4-Rural,7.20,AL,Southeast
1997,100720,4-Rural,4.20,AL,Southeast
1997,100780,3-Town,6.20,AL,Southeast
1997,100810,4-Rural,4.70,AL,Southeast
1997,100840,4-Rural,10.80,AL,Southeast
1997,100870,3-Town,7.40,AL,Southeast
1997,100900,4-Rural,8.90,AL,Southeast
1997,100930,3-Town,8.40,AL,Southeast
1997,100960,4-Rural,5.80,AL,Southeast
1997,100990,3-Town,5.60,AL,Southeast
1997,101020,4-Rural,1.00,AL,Southeast
1997,101050,2-Suburb,3.90,AL,Southeast
1997,101080,2-Suburb,5.40,AL,Southeast
1997,101110,4-Rural,5.00,AL,Southeast
1997,101140,4-Rural,7.10,AL,Southeast
1997,101170,1-City,9.40,AL,Southeast
1997,101200,3-Town,2.10,AL,Southeast
1997,101230,1-City,6.00,AL,Southeast
1997,101260,3-Town,7.30,AL,Southeast
1997,101290,2-Suburb,2.80,AL,Southeast
1997,101320,3-Town,4.10,AL,Southeast
1997,101350,3-Town,5.20,AL,Southeast
1997,101380,2-Suburb,4.70,AL,Southeast
1997,101410,3-Town,1.60,AL,Southeast
1997,101440,2-Suburb,2.80,AL,Southeast
1997,101470,3-Town,7.70,AL,Southeast
1997,101530,1-City,3.90,AL,Southeast
1997,101560,3-Town,5.70,AL,Southeast
1997,101590,3-Town,7.10,AL,Southeast
1997,101620,1-City,8.00,AL,Southeast
1997,101640,3-Town,4.60,AL,Southeast
1997,101660,4-Rural,4.10,AL,Southeast
1997,101680,4-Rural,8.90,AL,Southeast
1997,101690,3-Town,5.90,AL,Southeast
1997,101710,4-Rural,5.60,AL,Southeast
1997,101720,3-Town,6.10,AL,Southeast
1997,101730,2-Suburb,2.90,AL,Southeast
1997,101740,3-Town,9.20,AL,Southeast
1997,101760,2-Suburb,2.50,AL,Southeast
1997,101770,4-Rural,4.00,AL,Southeast
1997,101800,1-City,4.60,AL,Southeast
1997,101830,4-Rural,4.60,AL,Southeast
1997,101890,3-Town,2.70,AL,Southeast
1997,101920,2-Suburb,4.70,AL,Southeast
1997,101950,4-Rural,4.30,AL,Southeast
1997,101980,3-Town,4.20,AL,Southeast
1997,102010,4-Rural,4.00,AL,Southeast
1997,102040,4-Rural,2.20,AL,Southeast
1997,102070,3-Town,7.30,AL,Southeast
1997,102100,2-Suburb,6.40,AL,Southeast
1997,102160,4-Rural,6.90,AL,Southeast
1997,102190,4-Rural,2.70,AL,Southeast
1997,102220,4-Rural,4.70,AL,Southeast
1997,102250,4-Rural,4.10,AL,Southeast
1997,102310,4-Rural,5.10,AL,Southeast
1997,102350,2-Suburb,4.20,AL,Southeast
1997,102370,1-City,4.60,AL,Southeast
1997,102400,4-Rural,4.50,AL,Southeast
1997,102430,1-City,4.50,AL,Southeast
1997,102480,4-Rural,5.00,AL,Southeast
1997,102520,2-Suburb,2.90,AL,Southeast
1997,102550,2-Suburb,2.80,AL,Southeast
1997,102580,3-Town,2.90,AL,Southeast
1997,102610,3-Town,6.80,AL,Southeast
1997,102635,2-Suburb,4.00,AL,Southeast
1997,102640,2-Suburb,4.90,AL,Southeast
1997,102650,2-Suburb,7.60,AL,Southeast
1997,102670,3-Town,5.50,AL,Southeast
1997,102700,2-Suburb,3.30,AL,Southeast
1997,102730,4-Rural,1.50,AL,Southeast
1997,102760,2-Suburb,6.20,AL,Southeast
1997,102790,4-Rural,6.80,AL,Southeast
1997,102820,4-Rural,4.60,AL,Southeast
1997,102850,3-Town,7.40,AL,Southeast
1997,102880,2-Suburb,19.40,AL,Southeast
1997,102910,3-Town,4.10,AL,Southeast
1997,102940,3-Town,5.40,AL,Southeast
1997,102970,3-Town,3.70,AL,Southeast
1997,103000,2-Suburb,4.40,AL,Southeast
1997,103030,2-Suburb,4.00,AL,Southeast
1997,103062,4-Rural,4.40,AL,Southeast
1997,103090,3-Town,2.10,AL,Southeast
1997,103120,3-Town,3.80,AL,Southeast
1997,103150,3-Town,7.60,AL,Southeast
1997,103180,3-Town,4.30,AL,Southeast
1997,103210,3-Town,5.50,AL,Southeast
1997,103240,2-Suburb,7.40,AL,Southeast
1997,103270,1-City,6.40,AL,Southeast
1997,103300,3-Town,3.70,AL,Southeast
1997,103330,3-Town,3.40,AL,Southeast
1997,103360,1-City,5.60,AL,Southeast
1997,103390,2-Suburb,4.00,AL,Southeast
1997,103420,2-Suburb,2.60,AL,Southeast
1997,103450,4-Rural,4.30,AL,Southeast
1997,103480,4-Rural,2.10,AL,Southeast
1997,103580,4-Rural,4.70,AL,Southeast
1997,200001,4-Rural,9.20,AK,Northwest
1997,200003,4-Rural,5.70,AK,Northwest
1997,200004,4-Rural,2.20,AK,Northwest
1997,200005,4-Rural,3.90,AK,Northwest
1997,200006,3-Town,0.00,AK,Northwest
1997,200007,4-Rural,8.50,AK,Northwest
1997,200010,4-Rural,0.00,AK,Northwest
1997,200020,4-Rural,1.90,AK,Northwest
1997,200030,4-Rural,0.00,AK,Northwest
1997,200050,4-Rural,9.10,AK,Northwest
1997,200060,4-Rural,0.70,AK,Northwest
1997,200070,4-Rural,5.50,AK,Northwest
1997,200090,4-Rural,2.30,AK,Northwest
1997,200100,4-Rural,3.50,AK,Northwest
1997,200120,4-Rural,6.30,AK,Northwest
1997,200130,4-Rural,0.40,AK,Northwest
1997,200150,3-Town,9.60,AK,Northwest
1997,200180,1-City,1.90,AK,Northwest
1997,200210,3-Town,5.10,AK,Northwest
1997,200240,3-Town,5.90,AK,Northwest
1997,200270,4-Rural,3.30,AK,Northwest
1997,200300,4-Rural,0.00,AK,Northwest
1997,200330,4-Rural,9.10,AK,Northwest
1997,200360,4-Rural,0.00,AK,Northwest
1997,200390,3-Town,5.60,AK,Northwest
1997,200450,4-Rural,3.40,AK,Northwest
1997,200480,3-Town,3.70,AK,Northwest
1997,200485,4-Rural,2.60,AK,Northwest
1997,200510,3-Town,6.20,AK,Northwest
1997,200520,4-Rural,3.20,AK,Northwest
1997,200525,4-Rural,2.40,AK,Northwest
1997,200540,4-Rural,10.80,AK,Northwest
1997,200570,3-Town,2.40,AK,Northwest
1997,200600,3-Town,9.10,AK,Northwest
1997,200610,4-Rural,4.00,AK,Northwest
1997,200625,4-Rural,14.90,AK,Northwest
1997,200630,4-Rural,0.00,AK,Northwest
1997,200660,3-Town,1.80,AK,Northwest
1997,200670,4-Rural,0.00,AK,Northwest
1997,200680,4-Rural,0.00,AK,Northwest
1997,200690,4-Rural,2.30,AK,Northwest
1997,200700,4-Rural,4.40,AK,Northwest
1997,200710,4-Rural,4.80,AK,Northwest
1997,200715,4-Rural,9.10,AK,Northwest
1997,200720,3-Town,5.00,AK,Northwest
1997,200730,4-Rural,1.40,AK,Northwest
1997,200760,4-Rural,3.20,AK,Northwest
1997,200770,4-Rural,4.90,AK,Northwest
1997,200775,4-Rural,12.50,AK,Northwest
1997,200780,3-Town,4.10,AK,Northwest
1997,200800,4-Rural,9.10,AK,Northwest
1997,200810,4-Rural,3.20,AK,Northwest
1997,200840,4-Rural,0.00,AK,Northwest
1997,200862,4-Rural,5.70,AK,Northwest
1997,200863,3-Town,3.20,AK,Northwest
1997,400001,2-Suburb,2.10,AZ,Southwest
1997,400003,3-Town,4.20,AZ,Southwest
1997,400019,3-Town,7.40,AZ,Southwest
1997,400021,4-Rural,7.40,AZ,Southwest
1997,400023,4-Rural,28.70,AZ,Southwest
1997,400026,4-Rural,4.90,AZ,Southwest
1997,400029,3-Town,1.80,AZ,Southwest
1997,400030,1-City,63.40,AZ,Southwest
1997,400034,1-City,6.90,AZ,Southwest
1997,400036,2-Suburb,0.00,AZ,Southwest
1997,400039,1-City,0.00,AZ,Southwest
1997,400043,1-City,5.60,AZ,Southwest
1997,400045,1-City,3.30,AZ,Southwest
1997,400047,1-City,32.00,AZ,Southwest
1997,400048,1-City,0.00,AZ,Southwest
1997,400051,2-Suburb,37.50,AZ,Southwest
1997,400052,1-City,12.50,AZ,Southwest
1997,400053,1-City,0.40,AZ,Southwest
1997,400056,1-City,0.00,AZ,Southwest
1997,400058,1-City,3.20,AZ,Southwest
1997,400064,2-Suburb,40.60,AZ,Southwest
1997,400067,1-City,0.00,AZ,Southwest
1997,400072,1-City,0.00,AZ,Southwest
1997,400076,4-Rural,19.10,AZ,Southwest
1997,400082,2-Suburb,18.20,AZ,Southwest
1997,400083,2-Suburb,89.90,AZ,Southwest
1997,400085,1-City,12.20,AZ,Southwest
1997,400088,3-Town,18.50,AZ,Southwest
1997,400091,3-Town,88.40,AZ,Southwest
1997,400094,1-City,80.30,AZ,Southwest
1997,400097,3-Town,7.00,AZ,Southwest
1997,400099,3-Town,11.70,AZ,Southwest
1997,400104,1-City,23.80,AZ,Southwest
1997,400106,1-City,2.40,AZ,Southwest
1997,400110,1-City,33.50,AZ,Southwest
1997,400118,4-Rural,0.00,AZ,Southwest
1997,400119,1-City,0.00,AZ,Southwest
1997,400121,1-City,0.00,AZ,Southwest
1997,400123,2-Suburb,4.40,AZ,Southwest
1997,400125,1-City,0.00,AZ,Southwest
1997,400450,2-Suburb,9.90,AZ,Southwest
1997,400520,2-Suburb,11.40,AZ,Southwest
1997,400680,1-City,5.00,AZ,Southwest
1997,400720,4-Rural,9.60,AZ,Southwest
1997,400790,2-Suburb,2.80,AZ,Southwest
1997,400910,4-Rural,3.60,AZ,Southwest
1997,401000,4-Rural,3.20,AZ,Southwest
1997,401140,3-Town,6.30,AZ,Southwest
1997,401160,4-Rural,13.30,AZ,Southwest
1997,401180,3-Town,12.60,AZ,Southwest
1997,401330,4-Rural,11.60,AZ,Southwest
1997,401410,2-Suburb,11.40,AZ,Southwest
1997,401460,3-Town,6.80,AZ,Southwest
1997,401600,3-Town,5.90,AZ,Southwest
1997,401740,2-Suburb,25.90,AZ,Southwest
1997,401760,2-Suburb,1.90,AZ,Southwest
1997,401870,2-Suburb,4.20,AZ,Southwest
1997,401940,3-Town,20.40,AZ,Southwest
1997,402110,3-Town,0.00,AZ,Southwest
1997,402320,2-Suburb,20.30,AZ,Southwest
1997,402530,3-Town,8.00,AZ,Southwest
1997,402600,4-Rural,4.50,AZ,Southwest
1997,402690,2-Suburb,24.40,AZ,Southwest
1997,402740,2-Suburb,38.80,AZ,Southwest
1997,402860,3-Town,7.20,AZ,Southwest
1997,402920,2-Suburb,9.80,AZ,Southwest
1997,403010,1-City,9.00,AZ,Southwest
1997,403040,2-Suburb,6.50,AZ,Southwest
1997,403080,4-Rural,5.60,AZ,Southwest
1997,403200,4-Rural,4.50,AZ,Southwest
1997,403290,4-Rural,14.20,AZ,Southwest
1997,403310,4-Rural,7.20,AZ,Southwest
1997,403400,2-Suburb,3.60,AZ,Southwest
1997,403450,1-City,4.30,AZ,Southwest
1997,403500,3-Town,10.50,AZ,Southwest
1997,403550,4-Rural,6.60,AZ,Southwest
1997,403730,4-Rural,5.20,AZ,Southwest
1997,403820,3-Town,13.50,AZ,Southwest
1997,403860,1-City,68.70,AZ,Southwest
1997,403870,3-Town,5.90,AZ,Southwest
1997,403950,2-Suburb,27.00,AZ,Southwest
1997,404010,4-Rural,0.60,AZ,Southwest
1997,404060,3-Town,10.50,AZ,Southwest
1997,404280,2-Suburb,3.30,AZ,Southwest
1997,404570,2-Suburb,13.20,AZ,Southwest
1997,404630,1-City,5.40,AZ,Southwest
1997,404720,2-Suburb,16.60,AZ,Southwest
1997,404820,4-Rural,6.50,AZ,Southwest
1997,404970,1-City,5.10,AZ,Southwest
1997,405030,4-Rural,13.90,AZ,Southwest
1997,405070,3-Town,4.00,AZ,Southwest
1997,405170,2-Suburb,6.70,AZ,Southwest
1997,405320,4-Rural,2.50,AZ,Southwest
1997,405530,3-Town,7.30,AZ,Southwest
1997,405820,3-Town,17.40,AZ,Southwest
1997,405930,1-City,4.90,AZ,Southwest
1997,405980,3-Town,12.90,AZ,Southwest
1997,406030,4-Rural,1.80,AZ,Southwest
1997,406070,3-Town,10.60,AZ,Southwest
1997,406120,4-Rural,45.90,AZ,Southwest
1997,406250,2-Suburb,4.60,AZ,Southwest
1997,406330,1-City,16.60,AZ,Southwest
1997,406440,4-Rural,2.30,AZ,Southwest
1997,406580,4-Rural,6.10,AZ,Southwest
1997,406730,3-Town,6.50,AZ,Southwest
1997,406740,4-Rural,16.70,AZ,Southwest
1997,406810,2-Suburb,5.50,AZ,Southwest
1997,406850,4-Rural,4.20,AZ,Southwest
1997,406870,4-Rural,28.10,AZ,Southwest
1997,406960,3-Town,17.20,AZ,Southwest
1997,407130,4-Rural,3.00,AZ,Southwest
1997,407240,3-Town,3.30,AZ,Southwest
1997,407300,2-Suburb,6.60,AZ,Southwest
1997,407430,4-Rural,5.60,AZ,Southwest
1997,407520,4-Rural,3.30,AZ,Southwest
1997,407530,2-Suburb,15.70,AZ,Southwest
1997,407570,1-City,1.90,AZ,Southwest
1997,407630,4-Rural,16.40,AZ,Southwest
1997,407700,3-Town,1.50,AZ,Southwest
1997,407750,2-Suburb,3.50,AZ,Southwest
1997,407820,3-Town,20.90,AZ,Southwest
1997,408020,4-Rural,3.80,AZ,Southwest
1997,408080,3-Town,3.80,AZ,Southwest
1997,408170,1-City,18.90,AZ,Southwest
1997,408230,2-Suburb,7.10,AZ,Southwest
1997,408280,1-City,0.00,AZ,Southwest
1997,408340,1-City,4.00,AZ,Southwest
1997,408410,3-Town,2.80,AZ,Southwest
1997,408520,1-City,6.20,AZ,Southwest
1997,408600,4-Rural,13.30,AZ,Southwest
1997,408680,3-Town,13.80,AZ,Southwest
1997,408800,1-City,8.60,AZ,Southwest
1997,408910,4-Rural,0.80,AZ,Southwest
1997,409160,3-Town,40.40,AZ,Southwest
1997,409190,2-Suburb,9.00,AZ,Southwest
1997,409250,3-Town,3.50,AZ,Southwest
1997,409310,3-Town,4.10,AZ,Southwest
1997,409430,3-Town,8.80,AZ,Southwest
1997,409460,3-Town,13.30,AZ,Southwest
1997,409540,4-Rural,0.00,AZ,Southwest
1997,409630,1-City,8.00,AZ,Southwest
1997,409733,3-Town,6.00,AZ,Southwest
1997,500001,3-Town,3.60,AR,South
1997,500006,3-Town,7.00,AR,South
1997,500007,3-Town,1.90,AR,South
1997,500009,3-Town,5.60,AR,South
1997,500010,4-Rural,0.00,AR,South
1997,500012,4-Rural,4.50,AR,South
1997,500015,3-Town,2.50,AR,South
1997,500016,4-Rural,0.80,AR,South
1997,500017,3-Town,6.10,AR,South
1997,500019,3-Town,4.20,AR,South
1997,500020,4-Rural,2.70,AR,South
1997,500021,4-Rural,1.50,AR,South
1997,500023,3-Town,8.00,AR,South
1997,500026,1-City,8.60,AR,South
1997,500028,4-Rural,9.70,AR,South
1997,500029,3-Town,1.00,AR,South
1997,500030,4-Rural,1.90,AR,South
1997,500032,4-Rural,4.50,AR,South
1997,500035,1-City,0.00,AR,South
1997,500036,1-City,0.00,AR,South
1997,500041,4-Rural,10.30,AR,South
1997,500042,3-Town,8.00,AR,South
1997,500043,3-Town,5.10,AR,South
1997,500044,3-Town,3.70,AR,South
1997,500045,4-Rural,9.60,AR,South
1997,500046,3-Town,9.50,AR,South
1997,500047,3-Town,4.40,AR,South
1997,500048,4-Rural,6.00,AR,South
1997,500049,3-Town,5.40,AR,South
1997,500051,4-Rural,3.60,AR,South
1997,502220,3-Town,11.80,AR,South
1997,502250,2-Suburb,4.10,AR,South
1997,502280,4-Rural,3.20,AR,South
1997,502310,4-Rural,9.40,AR,South
1997,502330,4-Rural,0.00,AR,South
1997,502370,4-Rural,3.80,AR,South
1997,502430,3-Town,1.30,AR,South
1997,502460,4-Rural,0.00,AR,South
1997,502550,4-Rural,4.80,AR,South
1997,502580,3-Town,4.10,AR,South
1997,502610,3-Town,7.00,AR,South
1997,502670,3-Town,9.10,AR,South
1997,502700,3-Town,6.20,AR,South
1997,502730,4-Rural,10.80,AR,South
1997,502790,4-Rural,3.90,AR,South
1997,502820,4-Rural,2.80,AR,South
1997,502880,3-Town,9.20,AR,South
1997,502960,2-Suburb,3.60,AR,South
1997,503000,2-Suburb,3.90,AR,South
1997,503030,4-Rural,1.90,AR,South
1997,503060,2-Suburb,3.50,AR,South
1997,503090,4-Rural,5.20,AR,South
1997,503150,3-Town,6.50,AR,South
1997,503210,4-Rural,2.90,AR,South
1997,503240,4-Rural,6.00,AR,South
1997,503270,4-Rural,0.70,AR,South
1997,503300,4-Rural,3.70,AR,South
1997,503320,3-Town,8.80,AR,South
1997,503420,4-Rural,6.50,AR,South
1997,503450,3-Town,6.70,AR,South
1997,503480,4-Rural,6.30,AR,South
1997,503510,4-Rural,3.80,AR,South
1997,503570,2-Suburb,6.90,AR,South
1997,503630,3-Town,5.40,AR,South
1997,503640,4-Rural,6.10,AR,South
1997,503690,2-Suburb,4.90,AR,South
1997,503710,4-Rural,6.40,AR,South
1997,503750,2-Suburb,6.20,AR,South
1997,503770,4-Rural,2.30,AR,South
1997,503840,4-Rural,9.60,AR,South
1997,503960,4-Rural,3.40,AR,South
1997,503990,4-Rural,9.30,AR,South
1997,504020,3-Town,4.30,AR,South
1997,504050,4-Rural,4.70,AR,South
1997,504080,2-Suburb,2.20,AR,South
1997,504110,1-City,2.60,AR,South
1997,504170,4-Rural,6.00,AR,South
1997,504200,4-Rural,1.90,AR,South
1997,504350,4-Rural,5.10,AR,South
1997,504370,4-Rural,4.10,AR,South
1997,504380,3-Town,6.20,AR,South
1997,504410,4-Rural,7.30,AR,South
1997,504560,4-Rural,2.20,AR,South
1997,504590,1-City,5.40,AR,South
1997,504620,4-Rural,4.30,AR,South
1997,504680,4-Rural,7.00,AR,South
1997,504710,4-Rural,1.30,AR,South
1997,504740,4-Rural,0.00,AR,South
1997,504770,4-Rural,1.00,AR,South
1997,504800,3-Town,4.50,AR,South
1997,504830,4-Rural,6.50,AR,South
1997,504860,3-Town,2.40,AR,South
1997,504890,4-Rural,8.20,AR,South
1997,504930,3-Town,5.60,AR,South
1997,504980,4-Rural,5.20,AR,South
1997,505010,4-Rural,2.90,AR,South
1997,505040,4-Rural,1.90,AR,South
1997,505070,4-Rural,17.00,AR,South
1997,505110,4-Rural,3.60,AR,South
1997,505170,3-Town,4.00,AR,South
1997,505190,4-Rural,7.20,AR,South
1997,505310,4-Rural,3.90,AR,South
1997,505340,4-Rural,0.00,AR,South
1997,505410,1-City,4.60,AR,South
1997,505430,4-Rural,2.90,AR,South
1997,505470,3-Town,6.70,AR,South
1997,505500,3-Town,5.90,AR,South
1997,505550,2-Suburb,0.00,AR,South
1997,505580,4-Rural,2.00,AR,South
1997,505670,3-Town,5.50,AR,South
1997,505680,3-Town,5.10,AR,South
1997,505740,4-Rural,1.80,AR,South
1997,505760,4-Rural,2.60,AR,South
1997,505790,4-Rural,3.50,AR,South
1997,505820,4-Rural,6.00,AR,South
1997,505850,2-Suburb,4.20,AR,South
1997,505970,4-Rural,3.40,AR,South
1997,506000,4-Rural,2.70,AR,South
1997,506060,3-Town,6.20,AR,South
1997,506090,2-Suburb,3.80,AR,South
1997,506120,1-City,3.70,AR,South
1997,506150,4-Rural,3.10,AR,South
1997,506210,3-Town,0.80,AR,South
1997,506240,4-Rural,2.60,AR,South
1997,506270,3-Town,2.80,AR,South
1997,506330,1-City,6.50,AR,South
1997,506360,4-Rural,4.00,AR,South
1997,506390,4-Rural,4.30,AR,South
1997,506420,3-Town,5.40,AR,South
1997,506450,4-Rural,9.40,AR,South
1997,506540,4-Rural,2.40,AR,South
1997,506570,4-Rural,6.10,AR,South
1997,506630,3-Town,8.50,AR,South
1997,506690,4-Rural,1.00,AR,South
1997,506750,4-Rural,12.00,AR,South
1997,506780,4-Rural,0.00,AR,South
1997,506840,4-Rural,4.20,AR,South
1997,506870,4-Rural,7.00,AR,South
1997,506900,4-Rural,2.90,AR,South
1997,506930,2-Suburb,2.70,AR,South
1997,506990,2-Suburb,2.20,AR,South
1997,507110,4-Rural,6.60,AR,South
1997,507140,4-Rural,4.50,AR,South
1997,507170,4-Rural,9.90,AR,South
1997,507230,4-Rural,2.40,AR,South
1997,507290,3-Town,1.60,AR,South
1997,507320,2-Suburb,1.80,AR,South
1997,507350,4-Rural,2.50,AR,South
1997,507380,3-Town,4.30,AR,South
1997,507410,4-Rural,9.40,AR,South
1997,507470,4-Rural,9.20,AR,South
1997,507530,4-Rural,3.40,AR,South
1997,507560,3-Town,5.80,AR,South
1997,507590,4-Rural,2.90,AR,South
1997,507620,4-Rural,9.90,AR,South
1997,507650,3-Town,4.30,AR,South
1997,507680,3-Town,7.30,AR,South
1997,507710,4-Rural,0.50,AR,South
1997,507740,4-Rural,3.90,AR,South
1997,507770,4-Rural,7.20,AR,South
1997,507800,4-Rural,2.50,AR,South
1997,507840,3-Town,6.50,AR,South
1997,507860,4-Rural,3.40,AR,South
1997,507890,4-Rural,6.80,AR,South
1997,507920,4-Rural,0.40,AR,South
1997,507990,3-Town,6.90,AR,South
1997,508010,4-Rural,4.40,AR,South
1997,508040,1-City,7.80,AR,South
1997,508100,4-Rural,6.30,AR,South
1997,508130,4-Rural,2.60,AR,South
1997,508160,4-Rural,5.40,AR,South
1997,508240,4-Rural,6.70,AR,South
1997,508280,3-Town,7.60,AR,South
1997,508340,4-Rural,1.40,AR,South
1997,508400,4-Rural,4.40,AR,South
1997,508460,4-Rural,4.60,AR,South
1997,508490,4-Rural,3.90,AR,South
1997,508610,4-Rural,9.70,AR,South
1997,508640,3-Town,10.20,AR,South
1997,508670,3-Town,1.80,AR,South
1997,508700,4-Rural,6.40,AR,South
1997,508730,4-Rural,2.70,AR,South
1997,508880,4-Rural,6.50,AR,South
1997,508910,4-Rural,7.10,AR,South
1997,508940,4-Rural,2.80,AR,South
1997,509000,1-City,8.30,AR,South
1997,509030,4-Rural,3.30,AR,South
1997,509060,2-Suburb,0.60,AR,South
1997,509120,4-Rural,2.40,AR,South
1997,509150,4-Rural,1.20,AR,South
1997,509190,3-Town,7.20,AR,South
1997,509240,3-Town,7.80,AR,South
1997,509270,4-Rural,2.10,AR,South
1997,509330,4-Rural,1.30,AR,South
1997,509360,3-Town,12.60,AR,South
1997,509390,2-Suburb,5.40,AR,South
1997,509410,4-Rural,2.70,AR,South
1997,509420,3-Town,8.70,AR,South
1997,509480,4-Rural,5.20,AR,South
1997,509510,4-Rural,5.10,AR,South
1997,509540,4-Rural,1.10,AR,South
1997,509570,4-Rural,4.90,AR,South
1997,509600,4-Rural,6.40,AR,South
1997,509630,3-Town,5.90,AR,South
1997,509660,4-Rural,0.00,AR,South
1997,509690,4-Rural,5.30,AR,South
1997,509720,4-Rural,1.30,AR,South
1997,509750,3-Town,4.90,AR,South
1997,509780,4-Rural,4.70,AR,South
1997,509840,3-Town,3.40,AR,South
1997,509960,4-Rural,3.00,AR,South
1997,509990,4-Rural,2.40,AR,South
1997,510020,4-Rural,2.40,AR,South
1997,510050,4-Rural,2.40,AR,South
1997,510080,4-Rural,3.10,AR,South
1997,510170,4-Rural,2.20,AR,South
1997,510200,4-Rural,6.90,AR,South
1997,510260,4-Rural,7.00,AR,South
1997,510290,4-Rural,7.30,AR,South
1997,510320,4-Rural,0.50,AR,South
1997,510380,3-Town,3.40,AR,South
1997,510410,4-Rural,2.20,AR,South
1997,510440,3-Town,4.20,AR,South
1997,510500,4-Rural,3.10,AR,South
1997,510560,4-Rural,2.50,AR,South
1997,510620,4-Rural,3.40,AR,South
1997,510650,4-Rural,0.00,AR,South
1997,510680,1-City,7.90,AR,South
1997,510770,4-Rural,2.20,AR,South
1997,510800,4-Rural,1.10,AR,South
1997,510890,4-Rural,16.00,AR,South
1997,510920,4-Rural,6.50,AR,South
1997,510950,3-Town,8.40,AR,South
1997,510980,4-Rural,2.90,AR,South
1997,511010,3-Town,3.10,AR,South
1997,511070,4-Rural,2.10,AR,South
1997,511130,3-Town,5.70,AR,South
1997,511220,3-Town,1.30,AR,South
1997,511250,4-Rural,3.30,AR,South
1997,511310,4-Rural,0.00,AR,South
1997,511340,4-Rural,3.70,AR,South
1997,511370,3-Town,5.10,AR,South
1997,511460,4-Rural,0.90,AR,South
1997,511520,3-Town,3.80,AR,South
1997,511610,3-Town,3.90,AR,South
1997,511640,4-Rural,7.40,AR,South
1997,511700,4-Rural,5.70,AR,South
1997,511730,4-Rural,1.70,AR,South
1997,511760,4-Rural,2.40,AR,South
1997,511820,3-Town,0.00,AR,South
1997,511850,1-City,7.50,AR,South
1997,511880,4-Rural,5.20,AR,South
1997,511940,4-Rural,4.10,AR,South
1997,511970,1-City,7.00,AR,South
1997,512000,4-Rural,3.30,AR,South
1997,512035,4-Rural,7.90,AR,South
1997,512060,3-Town,5.80,AR,South
1997,512090,4-Rural,2.60,AR,South
1997,512120,4-Rural,1.20,AR,South
1997,512150,4-Rural,3.70,AR,South
1997,512180,4-Rural,0.00,AR,South
1997,512210,3-Town,4.70,AR,South
1997,512240,4-Rural,4.50,AR,South
1997,512420,4-Rural,0.00,AR,South
1997,512450,2-Suburb,7.00,AR,South
1997,512480,4-Rural,7.50,AR,South
1997,512510,4-Rural,1.40,AR,South
1997,512520,3-Town,1.00,AR,South
1997,512540,3-Town,2.40,AR,South
1997,512570,4-Rural,5.40,AR,South
1997,512600,4-Rural,4.90,AR,South
1997,512630,3-Town,4.30,AR,South
1997,512660,1-City,7.40,AR,South
1997,512720,4-Rural,3.00,AR,South
1997,512750,4-Rural,3.20,AR,South
1997,512780,4-Rural,3.90,AR,South
1997,512870,4-Rural,8.40,AR,South
1997,512900,4-Rural,10.40,AR,South
1997,512930,4-Rural,1.70,AR,South
1997,512960,3-Town,5.40,AR,South
1997,512990,4-Rural,7.10,AR,South
1997,513020,4-Rural,2.00,AR,South
1997,513050,4-Rural,2.00,AR,South
1997,513080,3-Town,7.40,AR,South
1997,513110,1-City,3.90,AR,South
1997,513230,4-Rural,4.50,AR,South
1997,513260,4-Rural,8.40,AR,South
1997,513265,4-Rural,1.10,AR,South
1997,513350,4-Rural,2.80,AR,South
1997,513380,3-Town,1.40,AR,South
1997,513410,2-Suburb,3.40,AR,South
1997,513440,4-Rural,11.30,AR,South
1997,513530,4-Rural,4.10,AR,South
1997,513560,4-Rural,2.90,AR,South
1997,513650,4-Rural,1.30,AR,South
1997,513680,3-Town,2.50,AR,South
1997,513710,3-Town,1.30,AR,South
1997,513740,3-Town,5.00,AR,South
1997,513860,4-Rural,7.80,AR,South
1997,513930,1-City,7.80,AR,South
1997,513950,4-Rural,0.80,AR,South
1997,514010,4-Rural,3.60,AR,South
1997,514020,4-Rural,2.80,AR,South
1997,514040,4-Rural,3.20,AR,South
1997,514070,4-Rural,1.80,AR,South
1997,514140,2-Suburb,3.90,AR,South
1997,514160,4-Rural,5.70,AR,South
1997,514190,4-Rural,2.10,AR,South
1997,514370,4-Rural,3.30,AR,South
